nombre,direccion,lat,lon,categoria,createdAt
Inmobiliaria Rocha S.A.T.,"Cuesta de Candela Ribas 63
Navarra, 26136",15.254374,-89.136907,"italiana, rapida",2025-02-17T08:12:58.815673
Valeria García Roldan S.L.L.,"Via Dan Delgado 95
Ávila, 24458",15.335643,-90.407208,"italiana, vegetariana",2025-04-10T09:28:39.836199
Emiliana Vendrell Martín S.L.N.E,"Ronda Armida Frutos 77 Apt. 89 
Málaga, 10423",16.134613,-91.148165,"asiatica, rapida",2025-04-14T11:15:46.497740
Damián Amorós Pereira S.Coop.,"Urbanización Jenny Vergara 5
Teruel, 17089",15.328574,-89.821156,"postres, mexicana",2025-01-18T05:00:58.780170
Miriam Español Castells S.C.P,"Via Teodosio Cañete 79 Puerta 9 
Asturias, 33999",17.745941,-91.283944,"postres, rapida",2025-02-11T14:34:00.182294
Inmobiliaria VWYG S.A.D,"C. Erasmo Sobrino 261
Ourense, 11796",13.942987,-90.278076,"postres, vegetariana",2025-03-05T02:19:34.984326
Inmobiliaria Arco & Asociados S.Com.,"Paseo de Tomasa Sobrino 63
Almería, 51666",15.843951,-92.2635,"italiana, asiatica",2025-02-27T12:11:01.374882
Manrique & Asociados S.L.L.,"Rambla de Anita Valbuena 67 Piso 7 
Ceuta, 50154",15.731457,-88.556407,"vegetariana, italiana",2025-02-28T19:47:34.619867
Villanueva y Benito S.Com.,"Cañada Olalla Bonet 83
Cantabria, 12350",15.993676,-91.488607,"mexicana, postres",2025-04-19T20:41:52.833196
Comercial Viña & Asociados S.Coop.,"Paseo de Concepción Barrena 90 Piso 2 
Ceuta, 24365",14.922802,-88.838042,"rapida, vegetariana",2025-03-10T22:19:06.451861
Desarrollo QZ S.Coop.,"Camino Toribio Bernad 60 Apt. 87 
Alicante, 08877",17.347165,-89.108904,"vegetariana, postres",2025-03-06T22:35:11.601276
Cruz y Macias S.Com.,"Vial Salomé Cordero 36
Girona, 15345",17.314908,-90.078983,"asiatica, postres",2025-02-22T02:09:03.403161
Despacho Arellano S.Com.,"Ronda de Socorro Rivero 40 Piso 0 
Almería, 05398",14.490061,-88.711387,"mexicana, postres",2025-04-04T05:10:56.706951
Patiño y asociados S.L.,"Alameda Matilde Santamaría 843
Badajoz, 32167",15.619293,-89.840907,"italiana, asiatica",2025-03-15T02:13:09.978764
Minería HGJL S.Coop.,"Pasadizo de María Borrego 28 Puerta 6 
Ciudad, 40454",15.720839,-91.717223,"vegetariana, asiatica",2025-01-24T04:50:06.660165
Comercial Vara y asociados S.A.,"Acceso Rosa Quesada 11 Apt. 04 
Teruel, 05585",17.137716,-91.72037,"vegetariana, asiatica",2025-03-31T02:40:57.339740
Banco Rovira y asociados S.L.N.E,"Glorieta Valentina Saldaña 9
Asturias, 20830",17.576757,-89.254952,"vegetariana, postres",2025-02-17T18:53:02.834024
Compañía Castellana S.A.,"Glorieta Adriana Velasco 77 Apt. 31 
Lugo, 01270",17.795638,-91.838464,"asiatica, italiana",2025-04-23T21:51:27.720690
Servicios Alemán S.L.,"C. Román Cámara 36
Badajoz, 16211",17.366078,-88.385257,"italiana, mexicana",2025-02-02T15:48:44.737717
Infraestructuras AZLH S.Coop.,"Avenida Carmen Alemán 71
Cantabria, 24902",17.469285,-90.170541,"mexicana, postres",2025-03-08T15:16:26.280934
Minería Iberia S.L.,"Pasaje de Beatriz Zabala 624 Puerta 9 
Pontevedra, 35125",15.456299,-90.07509,"mexicana, asiatica",2025-02-26T07:08:58.060592
Fábrica DO S.A.,"Rambla Juliana Sebastián 24
Melilla, 31950",16.612782,-91.498647,"asiatica, mexicana",2025-01-06T14:20:09.602130
Machado y asociados S.A.,"Alameda de Pastor Fernandez 24 Apt. 69 
Zaragoza, 32248",14.296018,-91.313865,"italiana, postres",2025-01-04T20:45:15.594522
Inversiones Carpio S.C.P,"Via de Agustina Segovia 896
Valencia, 14351",14.7582,-91.334919,"vegetariana, rapida",2025-03-19T18:32:56.398625
Familia Llorente S.L.L.,"Cuesta de Elvira Luján 67 Apt. 73 
Castellón, 11890",15.192778,-91.024076,"rapida, vegetariana",2025-04-12T23:32:04.371300
Font y asociados S.A.,"Via de Fernando Cuenca 69 Apt. 43 
Pontevedra, 11629",15.820769,-89.273977,"postres, vegetariana",2025-04-15T10:33:11.499007
Familia Bárcena S.L.,"Cañada Marcela Azcona 89 Apt. 89 
Ciudad, 34265",14.102886,-91.353358,"italiana, mexicana",2025-04-23T10:42:43.535759
Alfredo Rozas Juan S.A.,"Paseo de Consuelo Pou 38 Piso 3 
Jaén, 40885",13.858224,-91.365262,"rapida, vegetariana",2025-01-15T06:34:42.056167
Bayón y Aguado S.Com.,"Cañada Guadalupe Marín 59
Guadalajara, 03495",15.115349,-91.608506,"rapida, postres",2025-04-01T01:40:26.276676
Calderón y asociados S.Coop.,"Urbanización Natalio Rivas 17 Piso 1 
Sevilla, 24723",15.338507,-91.800504,"vegetariana, asiatica",2025-01-05T11:20:20.034926
Transportes YG S.Com.,"Pasaje Almudena Juárez 9
Lugo, 38843",14.93783,-90.197229,"italiana, vegetariana",2025-02-19T20:45:25.385710
Comercializadora Españolas S.Com.,"Ronda Marcelino Garmendia 99 Apt. 88 
Jaén, 31267",14.737551,-91.974168,"rapida, mexicana",2025-04-20T05:07:23.627973
Hnos Iniesta S.L.L.,"Acceso de Amelia Báez 888
Santa Cruz de Tenerife, 51723",15.930606,-89.402392,"postres, mexicana",2025-03-19T10:57:24.509309
Hnos Nogueira S.L.,"Via de Reynaldo Moliner 441 Apt. 09 
Cáceres, 11754",16.582495,-88.644307,"italiana, rapida",2025-01-03T10:57:28.746208
Servicios Enríquez & Asociados S.Com.,"Pasadizo Jose Angel Riera 5 Puerta 1 
Cádiz, 33973",15.909961,-91.815123,"vegetariana, rapida",2025-03-21T05:45:53.013091
Servicios Fortuny S.L.,"Cañada de Marita Corral 203
Badajoz, 42172",17.461475,-88.775035,"rapida, italiana",2025-04-11T13:17:20.836552
Suministros Miró S.L.,"Rambla de Cándida Espinosa 97 Apt. 63 
Melilla, 08017",14.066236,-89.808956,"rapida, italiana",2025-01-15T09:31:26.140872
Hermanos Gimeno S.A.,"Calle de Apolinar Bayona 9
Cádiz, 17019",16.909046,-90.89905,"postres, vegetariana",2025-04-14T15:03:46.746481
Ibán Zapata Zorrilla S.L.N.E,"Rambla Chucho Cerdán 73
Barcelona, 07234",15.254244,-90.8624,"vegetariana, mexicana",2025-01-07T19:09:42.702749
Hnos Llamas S.Com.,"Calle Dolores Bernal 8 Apt. 58 
Málaga, 25345",16.740226,-90.246817,"mexicana, rapida",2025-03-12T22:00:49.781850
Comercializadora BKF S.L.L.,"Via Flavio Vara 15
La Coruña, 31639",15.776884,-91.252499,"mexicana, rapida",2025-04-01T14:35:37.260180
Comercial del Sur S.A.U,"Cañada Elodia Hernandez 21 Apt. 45 
Granada, 09012",15.553516,-88.246582,"italiana, mexicana",2025-01-29T21:34:29.182575
Transportes NDD S.Coop.,"Avenida de Olga Cuervo 45
Valencia, 13115",14.889278,-89.022887,"vegetariana, postres",2025-02-04T00:32:25.994864
Encarna Barba Otero S.A.,"Cuesta de Nicolás Alcalde 917
Huelva, 48919",14.85132,-90.914354,"asiatica, vegetariana",2025-02-17T15:20:22.059629
León y Arana S.L.U.,"Via Caridad Pera 87 Apt. 70 
León, 24648",16.465725,-89.06949,"italiana, postres",2025-02-23T08:38:34.639932
Catalá y Serrano S.A.,"Cañada Francisco Jose Aparicio 80
Teruel, 49094",14.646556,-92.271524,"italiana, postres",2025-02-09T09:57:51.980844
Ángel y Cobo S.L.L.,"Paseo de Alfonso Agustí 78 Apt. 69 
Almería, 35125",16.163992,-90.603984,"mexicana, postres",2025-02-05T21:07:02.670466
Talleres Morán y asociados S.A.,"Callejón Marcelino Maza 59 Piso 6 
La Coruña, 27139",15.735826,-91.685673,"mexicana, asiatica",2025-01-20T17:14:26.602123
Minería Españolas S.Coop.,"Glorieta Lino Mayo 6
Cádiz, 38606",15.24327,-89.893116,"vegetariana, mexicana",2025-03-25T16:41:27.035829
Talleres Serra S.Coop.,"Acceso Bibiana Reina 7
Almería, 06301",16.530909,-89.628304,"postres, rapida",2025-01-24T03:52:07.301653
Industrias GADX S.Coop.,"Calle Consuelo Barceló 37
Navarra, 20582",16.749353,-89.008022,"rapida, asiatica",2025-01-06T11:52:49.064771
Familia Ribera S.L.N.E,"Ronda de Julie Plana 60
La Rioja, 34875",14.650192,-90.792633,"italiana, asiatica",2025-03-06T01:23:00.668521
Promociones Pelayo S.L.,"Paseo de Juan José Amigó 50
Palencia, 02757",15.031861,-89.515361,"rapida, italiana",2025-01-20T14:00:11.616374
Consultoría Reguera & Asociados S.Coop.,"Camino de Evita Sacristán 10
Ceuta, 13759",17.717345,-89.899544,"vegetariana, italiana",2025-03-27T20:51:46.923208
Distribuciones GRZ S.C.P,"Alameda de Artemio Donaire 41 Piso 4 
Madrid, 08881",16.901659,-89.821307,"italiana, rapida",2025-04-07T14:12:16.476580
Palma y Azorin S.A.T.,"Plaza de Agustín Tomé 98
Málaga, 10762",16.50017,-88.581776,"italiana, asiatica",2025-02-19T06:35:17.760325
Comercial Bilbao S.A.,"Vial de Sandalio Durán 8
Soria, 31921",14.165358,-91.525199,"postres, vegetariana",2025-03-06T16:19:43.083008
Matías Sevillano Calleja S.L.,"Acceso Alcides Amores 89 Apt. 65 
Zaragoza, 48017",17.210143,-89.21017,"italiana, mexicana",2025-03-14T16:13:45.797436
Despacho Galvez & Asociados S.L.,"Paseo Cayetano Uriarte 431
Lleida, 05648",14.827888,-90.13647,"vegetariana, asiatica",2025-04-13T09:26:20.961214
Grupo Redondo S.Com.,"Acceso de Anunciación Vendrell 9 Puerta 3 
Jaén, 02408",14.815242,-88.726419,"rapida, postres",2025-02-17T13:16:50.344436
Casemiro Catalán Padilla S.Com.,"Paseo de Juan Manuel Ferrán 917 Apt. 64 
Zamora, 36840",13.839097,-89.466788,"mexicana, rapida",2025-04-19T01:29:46.852546
Inmobiliaria Melero & Asociados S.C.P,"Camino de Dorotea Blazquez 9 Piso 7 
Madrid, 21565",17.504605,-90.94405,"postres, asiatica",2025-04-04T16:22:10.990335
Huerta y Millán S.Coop.,"Paseo Teobaldo Vizcaíno 12
Lleida, 48877",15.075074,-89.389721,"vegetariana, mexicana",2025-01-24T00:44:09.356038
Mulet y Manjón S.A.U,"Vial Rufino Escamilla 397
Córdoba, 38492",16.135063,-90.842862,"vegetariana, asiatica",2025-04-14T22:52:18.350544
Bosch y Gilabert S.Com.,"Calle de Clemente Girona 1 Puerta 9 
Barcelona, 18109",16.770271,-90.546238,"vegetariana, postres",2025-02-11T01:43:24.254720
Consultoría NFX S.L.,"Pasaje Demetrio Agustí 58
Las Palmas, 29591",14.266572,-91.953372,"postres, rapida",2025-02-10T08:48:39.698355
Paz y Ibáñez S.A.,"Glorieta Paola Salas 89
Las Palmas, 20621",17.154535,-89.437528,"vegetariana, rapida",2025-02-11T00:29:10.571194
Candelario Cuervo Bermúdez S.L.,"Cañada de Carlito Montoya 37 Apt. 31 
Ciudad, 39184",14.234766,-90.894541,"asiatica, italiana",2025-04-21T22:39:52.255040
Comercial Iberia S.L.,"Cuesta de Luciana Egea 80 Apt. 13 
Albacete, 43059",17.665639,-91.839791,"postres, italiana",2025-03-22T09:46:40.820087
Soluciones del Noroeste S.Coop.,"Cuesta Charo Fuster 87 Piso 4 
Cantabria, 12089",16.35828,-90.468001,"vegetariana, postres",2025-04-19T03:57:28.735656
Sanmiguel & Asociados S.L.N.E,"Camino de Martirio Rozas 347 Piso 6 
Córdoba, 05524",15.589925,-89.584718,"vegetariana, postres",2025-04-14T21:36:58.788213
Compañía Tejera S.Coop.,"Camino de Dominga Madrid 34
Palencia, 25806",16.09881,-91.339637,"postres, italiana",2025-01-25T01:59:16.627232
Inmobiliaria Ureña S.A.,"Camino Isa Pera 84 Apt. 20 
León, 16201",17.04607,-89.382445,"asiatica, mexicana",2025-04-21T15:20:15.445743
Restauración CCPJ S.A.,"Cuesta de Miguel Figuerola 99 Apt. 91 
Tarragona, 23318",17.07558,-90.567493,"postres, asiatica",2025-03-10T14:19:04.625884
Hermanos Vallés S.Coop.,"Callejón Silvestre Marqués 2 Puerta 8 
Ceuta, 48539",16.184762,-89.354429,"postres, italiana",2025-01-31T10:57:11.479849
Artemio Alemán Rocamora S.A.,"Cuesta de Jorge Vicente 1
Ciudad, 33654",13.917385,-90.47568,"rapida, asiatica",2025-04-06T23:24:38.221228
Florentino Bejarano Perales S.A.,"Avenida de Salomón Hurtado 60
Jaén, 19721",17.660419,-91.875897,"postres, asiatica",2025-03-11T02:24:48.340410
Almagro & Asociados S.Coop.,"Plaza Calixto Santos 15 Piso 9 
Guadalajara, 30484",14.863866,-89.609936,"rapida, postres",2025-03-03T22:15:28.685742
Compañía Corbacho y asociados S.L.N.E,"Urbanización de Guillermo Viñas 39
Palencia, 12037",17.603359,-89.275566,"mexicana, italiana",2025-03-09T02:59:27.897314
Industrias Vallés S.L.,"Calle de Bartolomé Valcárcel 33 Piso 2 
Castellón, 11956",17.211383,-88.716777,"asiatica, vegetariana",2025-04-19T08:20:54.218661
Rodrigo Armengol Garcés S.Com.,"Callejón de Verónica Coello 37
Cáceres, 28774",15.993693,-91.931565,"vegetariana, mexicana",2025-02-02T08:54:50.030981
Eustaquio Valls Huertas S.L.,"Rambla Evelia Pinedo 4 Apt. 22 
Guipúzcoa, 25606",16.264605,-88.64679,"mexicana, vegetariana",2025-01-12T07:56:14.494757
Álamo & Asociados S.Com.,"Urbanización de Amador Vendrell 9
Teruel, 49743",16.625895,-89.12714,"asiatica, mexicana",2025-03-06T21:02:42.723250
Instalaciones Cisneros S.C.P,"Acceso Obdulia Ugarte 32 Puerta 8 
Burgos, 03041",16.323618,-90.318088,"postres, asiatica",2025-03-27T22:37:24.895792
Transportes Integrales S.Coop.,"Urbanización Saturnino Salas 68
Cuenca, 23906",17.019679,-89.376939,"rapida, postres",2025-02-08T19:37:48.700801
Instalaciones Llano y asociados S.A.,"Vial de Tiburcio Fabra 43
Murcia, 14972",16.052491,-90.02534,"postres, mexicana",2025-01-23T21:50:42.260267
Peral y asociados S.L.,"Avenida de Jesús Ferrández 2 Piso 5 
Baleares, 10508",13.897939,-91.732063,"vegetariana, rapida",2025-04-08T03:39:22.181463
Iniesta y Olivares S.L.N.E,"Pasaje de Andrés Pablo 81 Apt. 59 
Segovia, 36383",14.823067,-90.428987,"postres, rapida",2025-01-26T04:52:09.268976
Hotel Ibéricos S.Com.,"Plaza de Donato Fuster 58 Apt. 03 
Ávila, 06114",14.093011,-91.960571,"asiatica, postres",2025-04-12T03:28:05.784892
Guadalupe Chamorro Alvarez S.L.N.E,"Avenida Xavier Gracia 722
Zaragoza, 27005",14.232568,-89.312085,"italiana, asiatica",2025-03-02T21:10:37.105327
Robledo y Grau S.A.,"Cañada de Candelaria Ramón 99
Guadalajara, 29128",17.247749,-88.363451,"italiana, asiatica",2025-03-05T08:10:57.116266
Distribuciones DROE S.L.N.E,"Pasadizo Rosalinda Falcón 40 Apt. 75 
Barcelona, 41481",16.940624,-91.16186,"postres, italiana",2025-03-23T05:19:52.115523
Servicios Feijoo & Asociados S.A.,"C. Piedad Moraleda 33
Pontevedra, 46292",15.699329,-89.934883,"italiana, rapida",2025-04-18T10:30:17.076802
Construcción DTTN S.L.U.,"Cañada de Patricia Iniesta 35
Salamanca, 28220",14.188967,-91.067143,"rapida, vegetariana",2025-03-29T18:31:27.975641
Chelo Corbacho Rosell S.Coop.,"Cañada Xavier Acero 32
Alicante, 49684",14.743772,-89.378488,"italiana, postres",2025-01-02T10:45:29.559633
Finanzas Berrocal & Asociados S.L.,"Via Socorro Almazán 93 Puerta 8 
Badajoz, 50974",17.79737,-88.78934,"mexicana, italiana",2025-01-19T04:26:33.549725
Hermanos Lladó S.A.,"Via de Tomás Aragonés 1
Burgos, 49896",16.808819,-90.424346,"vegetariana, mexicana",2025-04-22T15:04:13.236147
Distribuciones Española S.A.,"Acceso Marita Cabezas 7
Valencia, 40289",16.698963,-91.061908,"rapida, mexicana",2025-02-25T08:52:45.383674
Tecnologías Amo y asociados S.L.N.E,"Pasaje de Perla Ramirez 23
Almería, 40546",17.634439,-88.965334,"postres, asiatica",2025-04-18T21:09:04.264370
Font & Asociados S.Coop.,"Glorieta Rodolfo Morillo 82
Córdoba, 32561",17.46071,-88.782287,"vegetariana, mexicana",2025-03-29T14:41:34.874865
Minería Alberto S.Coop.,"Urbanización Oriana Castejón 15
Granada, 18005",14.688819,-88.200046,"postres, rapida",2025-02-28T03:08:51.424902
Transportes YMTL S.Com.,"Ronda Lidia Vila 46 Puerta 0 
Cantabria, 31483",17.679002,-90.005772,"postres, rapida",2025-01-19T08:55:45.656638
Teruel y asociados S.Coop.,"Via Vicente Antúnez 4 Puerta 9 
Álava, 10410",15.579814,-92.068325,"asiatica, postres",2025-03-06T06:37:31.663895
Catalina Vizcaíno Castañeda S.A.,"Pasadizo de Timoteo Cerezo 34
Ceuta, 20117",17.33816,-89.706656,"vegetariana, mexicana",2025-04-13T15:18:05.885336
Despacho Rios S.Com.,"Callejón de Nereida Cid 60
Jaén, 23116",14.407586,-88.481172,"mexicana, italiana",2025-03-27T06:44:01.842927
Tadeo Alberola Quintero S.A.,"Cuesta Juan Gárate 22 Apt. 84 
Salamanca, 36162",16.778954,-89.318997,"asiatica, italiana",2025-04-05T01:35:24.999958
Banca Privada Ibéricos S.L.,"C. de Toni Villanueva 3 Piso 8 
Girona, 49684",15.957466,-91.629959,"mexicana, rapida",2025-03-05T04:34:07.790907
Construcción QWX S.L.,"Callejón Amparo Peña 859
Las Palmas, 20799",15.68059,-88.316484,"italiana, asiatica",2025-03-30T15:44:45.085345
Suministros Pedrero S.Coop.,"Cuesta Prudencia Sanz 56
Guipúzcoa, 47788",15.377308,-90.635948,"postres, italiana",2025-02-02T20:49:05.597326
Solé y asociados S.A.U,"Calle Asdrubal Canales 77 Puerta 3 
Cáceres, 48809",14.30845,-90.535451,"postres, mexicana",2025-03-25T17:19:19.068228
Industrias GNT S.A.,"Urbanización de Sara Millán 81 Puerta 0 
Zaragoza, 32147",15.952187,-91.418468,"asiatica, vegetariana",2025-01-16T04:39:21.236512
Wálter Ferrando Arranz S.L.L.,"Glorieta Antonio Ledesma 13
Lleida, 37998",15.583434,-90.619545,"rapida, asiatica",2025-04-05T21:16:47.176381
Familia Castillo S.L.N.E,"Urbanización Ani Mendizábal 6
Guipúzcoa, 01642",14.247749,-91.855489,"postres, italiana",2025-04-15T22:11:21.355797
Cuéllar y Torralba S.A.,"Glorieta de Calisto Pazos 94
Las Palmas, 26492",17.099345,-91.525461,"postres, rapida",2025-02-20T19:55:23.298916
Lillo y Roselló S.A.,"Avenida de Sabas Oliveras 3 Piso 5 
Lugo, 13906",13.739468,-89.196247,"asiatica, italiana",2025-02-24T12:04:49.875127
Distribuciones Barón y asociados S.A.,"Pasaje de Nicolasa Álvaro 10
Ourense, 35715",15.532774,-88.975955,"rapida, asiatica",2025-02-08T12:46:47.008829
Barba y asociados S.L.,"C. de Jose Gabaldón 412 Piso 4 
Segovia, 15035",16.88452,-90.136308,"asiatica, rapida",2025-02-18T14:15:29.111254
Cortes y Adán S.A.D,"Calle Eva María Valentín 8
Lugo, 16552",17.4681,-89.4093,"rapida, asiatica",2025-04-12T17:05:31.465501
Aroca y Herranz S.A.,"Pasaje Lidia Alcalá 76 Apt. 05 
Palencia, 50707",14.621665,-92.150004,"postres, italiana",2025-01-27T17:05:49.455777
Inmobiliaria YYNK S.A.,"Calle de Glauco Ródenas 782
Barcelona, 22261",16.03962,-88.653862,"asiatica, mexicana",2025-02-07T23:50:02.359077
Salinas y asociados S.L.N.E,"Calle de Azahar Arenas 16 Apt. 63 
Álava, 39148",14.819146,-91.187588,"mexicana, rapida",2025-03-14T21:09:23.758097
Bermudez y Rico S.Coop.,"Urbanización René Font 35
Cuenca, 44643",15.716002,-91.051679,"rapida, postres",2025-01-25T19:17:29.170008
Restauración Jiménez S.C.P,"Cañada de Delfina Llano 61
Santa Cruz de Tenerife, 34052",17.528866,-91.57839,"rapida, vegetariana",2025-02-16T07:52:26.720378
Logística FVPN S.L.,"Plaza de Teo Alegre 612
Almería, 26749",13.942987,-90.353435,"vegetariana, postres",2025-01-04T11:05:44.623656
Despacho Lara S.L.N.E,"Cuesta de Aurelio Redondo 75
Alicante, 02198",17.029504,-90.680633,"rapida, mexicana",2025-03-29T13:52:57.007667
Grupo Carbajo S.L.,"Cañada de Natividad Salgado 5 Puerta 8 
Sevilla, 02881",15.450989,-90.679814,"postres, vegetariana",2025-01-10T06:29:16.244956
Puig & Asociados S.A.,"Alameda Seve Oliver 3 Piso 1 
Zamora, 09879",14.06823,-89.847861,"mexicana, asiatica",2025-02-26T16:44:32.733407
Grupo Piña S.L.N.E,"Pasadizo África Manzano 74
Melilla, 23532",14.122148,-88.208464,"vegetariana, rapida",2025-04-11T02:22:21.236439
Suministros Española S.Coop.,"C. de Jesús Navarro 300 Piso 2 
León, 07671",15.654179,-90.864898,"italiana, mexicana",2025-01-31T02:51:00.437936
Desarrollo YF S.L.N.E,"Camino Gustavo Portillo 46 Apt. 34 
Las Palmas, 02801",14.960058,-89.164672,"mexicana, italiana",2025-02-22T15:47:36.053584
Distribuciones RUGX S.L.,"Rambla Ámbar Gibert 2
Cádiz, 15731",14.462201,-88.302629,"rapida, asiatica",2025-01-09T23:02:34.688381
Mercader y asociados S.L.L.,"Camino de María Jesús Viana 31
Jaén, 44322",17.765951,-91.374351,"mexicana, postres",2025-01-05T00:36:19.148532
Manufacturas Inteligentes S.A.U,"Avenida de Úrsula Castillo 993 Piso 8 
Cantabria, 06026",17.165142,-90.705346,"vegetariana, postres",2025-01-01T09:05:51.683936
Compañía Jódar y asociados S.Com.,"Glorieta de Adalberto Aguado 220
Almería, 51991",14.404505,-88.501739,"rapida, mexicana",2025-02-17T05:59:05.158377
Despacho Globales S.L.L.,"C. Francisco Jose Viana 2
Murcia, 03256",14.690241,-89.791671,"postres, italiana",2025-04-16T20:45:12.998287
Jose Antonio Duarte Villena S.A.,"Pasaje Amor Conesa 9 Puerta 9 
Las Palmas, 28472",17.796288,-90.408069,"vegetariana, italiana",2025-04-13T09:48:20.911226
Barba y asociados S.Com.,"Plaza de Aureliano Conesa 27
Asturias, 30792",16.703007,-91.368889,"italiana, rapida",2025-01-16T05:28:36.219882
Victor Moll Guillén S.L.,"Avenida Jovita Roman 2 Puerta 6 
Cuenca, 51920",15.811256,-91.698785,"mexicana, vegetariana",2025-03-22T17:12:16.372822
Consultoría Vendrell S.Com.,"Plaza Serafina Marquez 39
Palencia, 18467",15.606436,-89.24701,"vegetariana, italiana",2025-02-16T14:53:50.544749
Salvador Cal Ramón S.L.L.,"Pasaje de Angelino Ayala 1
Almería, 32143",14.213092,-89.39683,"mexicana, rapida",2025-01-27T02:02:56.393609
Querol y Montoya S.Com.,"Alameda de Almudena Dalmau 503
Segovia, 16051",16.816231,-89.943501,"italiana, postres",2025-03-03T17:24:14.891602
Bello y asociados S.Com.,"Vial de Nayara Toro 15
Cantabria, 23562",16.6525,-90.83154,"mexicana, rapida",2025-03-11T04:28:21.223690
Consultoría Iberia S.L.,"Plaza Eloísa Campoy 99
Toledo, 18915",16.665652,-89.155016,"asiatica, mexicana",2025-03-01T01:21:20.488125
Burgos y Gibert S.L.,"Alameda Violeta Vizcaíno 8
Tarragona, 06604",14.495902,-90.280476,"mexicana, postres",2025-01-07T09:38:13.094831
Distribuciones WN S.Com.,"C. de Jaime Vélez 45 Piso 4 
Murcia, 08437",17.770929,-91.768974,"asiatica, vegetariana",2025-03-12T00:36:12.843750
Duran y Fernandez S.L.N.E,"Pasaje Joan Portillo 67
Valladolid, 03347",16.558323,-91.646702,"asiatica, mexicana",2025-02-28T12:44:38.289600
Bartolomé & Asociados S.L.N.E,"Glorieta María Manuela Roldán 226 Piso 4 
Córdoba, 51794",15.607948,-88.629641,"mexicana, rapida",2025-04-05T07:09:03.692707
Samper y asociados S.L.N.E,"Vial Segismundo Roman 597
Lugo, 21912",16.464095,-91.536422,"asiatica, mexicana",2025-02-20T05:03:14.700662
Inmobiliaria EDZS S.Coop.,"Cuesta Clementina Ibáñez 57 Apt. 15 
La Rioja, 35494",14.118229,-91.344382,"mexicana, rapida",2025-04-08T08:43:16.928977
Distribuciones Sales & Asociados S.Com.,"Vial Leocadio Andres 13
Barcelona, 11623",17.080664,-89.293269,"postres, italiana",2025-04-10T13:11:35.892226
Finanzas Sacristán & Asociados S.L.N.E,"Calle Eustaquio Huerta 541
Soria, 46244",13.728313,-89.459002,"vegetariana, mexicana",2025-03-08T13:52:46.751025
Hermanos Arjona S.A.,"Camino Gabino Vergara 52 Puerta 5 
Baleares, 01399",16.385418,-91.270968,"italiana, mexicana",2025-03-08T17:08:49.670196
Sanmiguel y Anguita S.L.,"Avenida Marina Ribas 593 Puerta 7 
Lleida, 28145",16.746561,-92.254324,"mexicana, postres",2025-01-17T03:47:39.429695
